peds_0,peds_1,peds_2,peds_3,peds_4,peds_5,peds_6,peds_7,peds_8,peds_9,peds_10,peds_11,peds_12,peds_13,peds_14,peds_15,peds_16,peds_17,peds_18,peds_19,peds_20,peds_21,peds_22,peds_23,peds_24,peds_25,peds_26,peds_27,peds_28,peds_29,peds_30,peds_31,peds_32,peds_33,peds_34,peds_35,peds_36,peds_37,peds_38,peds_39,peds_40,peds_41,peds_42,peds_43,peds_44,peds_45,peds_46,peds_47,peds_48,peds_49,peds_50,peds_51,peds_52,peds_53,peds_54,peds_55,peds_56,peds_57,peds_58,peds_59,peds_60,peds_61
ハービンジャー Harbinger(英) 2006 鹿毛 [血統][産駒] Danzig系,ダノンフローラ 2004 鹿毛 [血統][産駒] FNo.[12-e],Dansili 1996 黒鹿毛 [血統][産駒],Penang Pearl 1996 鹿毛 [血統][産駒],アグネスタキオン 1998 栗毛 [血統][産駒],ファンジカ Fanjica(愛) 1992 黒鹿毛 [血統][産駒],デインヒル Danehill(米) 1986 鹿毛 [血統][産駒],Hasili 1991 鹿毛 [血統][産駒],Bering 1983 栗毛 [血統][産駒],Guapa 1988 鹿毛 [血統][産駒],サンデーサイレンス Sunday Silence(米) 1986 青鹿毛 [血統][産駒],アグネスフローラ 1987 鹿毛 [血統][産駒],Law Society 1982 黒鹿毛 [血統][産駒],Florie 1984 鹿毛 [血統][産駒],Danzig 1977 鹿毛,Razyana 1981 鹿毛,Kahyasi 1985 鹿毛,Kerali 1984 栗毛,Arctic Tern 1973 栗毛,Beaune 1974 栗毛,Shareef Dancer 1980 鹿毛,Sauceboat 1972 鹿毛,Halo 1969 黒鹿毛,Wishing Well 1975 鹿毛,ロイヤルスキー 1974 栗毛,アグネスレディー 1976 鹿毛,Alleged 1974 鹿毛,Bold Bikini 1969 鹿毛,ゲイメセン 1975 黒鹿毛,Figure Libre 1979 鹿毛,Northern Dancer,Pas de Nom,His Majesty,Spring Adieu,イルドブルボン,Kadissya,High Line,Sookera,Sea-Bird,Bubbling Beauty,Lyphard,Barbra,Northern Dancer,Sweet Alliance,Connaught,Cranberry Sauce,Hail to Reason,Cosmah,Understanding,Mountain Flower,Raja Baba,Coz o'Nijinsky,リマンド,イコマエイカン,Hoist the Flag,Princess Pout,Boldnesian,Ran-Tan,Vaguely Noble,Gay Missile,Northern Dancer,Ivanjica
ハービンジャー Harbinger(英) 2006 鹿毛 [血統][産駒] Danzig系,ピエナサクラ 2010 栗毛 [血統][産駒] FNo.[10-c],Dansili 1996 黒鹿毛 [血統][産駒],Penang Pearl 1996 鹿毛 [血統][産駒],アグネスタキオン 1998 栗毛 [血統][産駒],ピエナフローラ 2004 栗毛 [血統][産駒],デインヒル Danehill(米) 1986 鹿毛 [血統][産駒],Hasili 1991 鹿毛 [血統][産駒],Bering 1983 栗毛 [血統][産駒],Guapa 1988 鹿毛 [血統][産駒],サンデーサイレンス Sunday Silence(米) 1986 青鹿毛 [血統][産駒],アグネスフローラ 1987 鹿毛 [血統][産駒],タイキシャトル 1994 栗毛 [血統][産駒],グリンパサー 1991 鹿毛 [血統][産駒],Danzig 1977 鹿毛,Razyana 1981 鹿毛,Kahyasi 1985 鹿毛,Kerali 1984 栗毛,Arctic Tern 1973 栗毛,Beaune 1974 栗毛,Shareef Dancer 1980 鹿毛,Sauceboat 1972 鹿毛,Halo 1969 黒鹿毛,Wishing Well 1975 鹿毛,ロイヤルスキー 1974 栗毛,アグネスレディー 1976 鹿毛,Devil's Bag 1981 鹿毛,ウェルシュマフィン 1987 鹿毛,Vice Regent 1967 栗毛,パスオールホープ 1982 鹿毛,Northern Dancer,Pas de Nom,His Majesty,Spring Adieu,イルドブルボン,Kadissya,High Line,Sookera,Sea-Bird,Bubbling Beauty,Lyphard,Barbra,Northern Dancer,Sweet Alliance,Connaught,Cranberry Sauce,Hail to Reason,Cosmah,Understanding,Mountain Flower,Raja Baba,Coz o'Nijinsky,リマンド,イコマエイカン,Halo,Ballade,Caerleon,Muffitys,Northern Dancer,Victoria Regina,Damascus,Pass all Flags
モンテロッソ Monterosso(英) 2007 鹿毛 [血統][産駒] Mr. Prospector系,ヒラボクキャロル 2004 黒鹿毛 [血統][産駒] FNo.[9-f],Dubawi 2002 鹿毛 [血統][産駒],Porto Roca 1995 鹿毛 [血統][産駒],ダンスインザダーク 1993 鹿毛 [血統][産駒],チョウカイキャロル 1991 栗毛 [血統][産駒],Dubai Millennium 1996 鹿毛 [血統][産駒],Zomaradah 1995 鹿毛 [血統][産駒],Barathea 1990 鹿毛 [血統][産駒],Antelliere 1986 鹿毛 [血統][産駒],サンデーサイレンス Sunday Silence(米) 1986 青鹿毛 [血統][産駒],ダンシングキイ 1983 鹿毛 [血統][産駒],ブライアンズタイム Brian's Time(米) 1985 黒鹿毛 [血統][産駒],ウィットワタースランド Witwatersrand(米) 1981 鹿毛 [血統][産駒],Seeking the Gold 1985 鹿毛,Colorado Dancer 1986 黒鹿毛,Deploy 1987 鹿毛,Jawaher 1989 鹿毛,Sadler's Wells 1981 鹿毛,Brocade 1981 鹿毛,Salieri 1980 栗毛,Anntelle 1979 黒鹿毛,Halo 1969 黒鹿毛,Wishing Well 1975 鹿毛,Nijinsky 1967 鹿毛,Key Partner 1976 黒鹿毛,Roberto 1969 鹿毛,Kelley's Day 1977 鹿毛,Mr. Prospector 1970 鹿毛,Sleek Belle 1972 鹿毛,Mr. Prospector,Con Game,Shareef Dancer,Fall Aspen,Shirley Heights,Slightly Dangerous,ダンシングブレーヴ,High Tern,Northern Dancer,Fairy Bridge,Habitat,Canton Silk,Accipiter,Hogan's Sister,Loosen Up,Soft Quest,Hail to Reason,Cosmah,Understanding,Mountain Flower,Northern Dancer,Flaming Page,Key to the Mint,Native Partner,Hail to Reason,Bramalea,Graustark,Golden Trail,Raise a Native,Gold Digger,Vaguely Noble,Sleek Dancer
マンハッタンカフェ 1998 青鹿毛 [血統][産駒] Halo系,アートスタジオ Art Studio(米) 2008 鹿毛 [血統][産駒] FNo.[A4],サンデーサイレンス Sunday Silence(米) 1986 青鹿毛 [血統][産駒],サトルチェンジ Subtle Change(愛) 1988 黒鹿毛 [血統][産駒],Bernardini (米) 2003 鹿毛 [血統][産駒],Atelier 1997 黒鹿毛 [血統][産駒],Halo 1969 黒鹿毛 [血統][産駒],Wishing Well 1975 鹿毛 [血統][産駒],Law Society 1982 黒鹿毛 [血統][産駒],Santa Luciana 1973 黒鹿毛 [血統][産駒],A.P. Indy 1989 黒鹿毛 [血統][産駒],Cara Rafaela 1993 芦毛 [血統][産駒],Deputy Minister 1979 黒鹿毛 [血統][産駒],Aishah 1987 栗毛 [血統][産駒],Hail to Reason 1958 黒鹿毛,Cosmah 1953 鹿毛,Understanding 1963 栗毛,Mountain Flower 1964 鹿毛,Alleged 1974 鹿毛,Bold Bikini 1969 鹿毛,Luciano 1964 鹿毛,Suleika 1954 黒鹿毛,Seattle Slew 1974 黒鹿毛,Weekend Surprise 1980 鹿毛,Quiet American 1986 鹿毛,Oil Fable 1986 芦毛,Vice Regent 1967 栗毛,Mint Copy 1970 黒鹿毛,Alydar 1975 栗毛,Courtly Dee 1968 黒鹿毛,Turn-to,Nothirdchance,Cosmic Bomb,Almahmoud,Promised Land,Pretty Ways,Montparnasse,Edelweiss,Hoist the Flag,Princess Pout,Boldnesian,Ran-Tan,Henry the Seventh,Light Arctic,Ticino,Schwarzblaurot,Bold Reasoning,My Charmer,Secretariat,Lassie Dear,Fappiano,Demure,Spectacular Bid,Northern Fable,Northern Dancer,Victoria Regina,Bunty's Flight,Shakney,Raise a Native,Sweet Tooth,Never Bend,Tulle
ディープインパクト 2002 鹿毛 [血統][産駒] Halo系,マネーペニー Moneypenny(米) 2003 栗毛 [血統][産駒] FNo.[3-c],サンデーサイレンス Sunday Silence(米) 1986 青鹿毛 [血統][産駒],ウインドインハーヘア Wind in Her Hair(愛) 1991 鹿毛 [血統][産駒],Monarchos 1998 芦毛 [血統][産駒],My White Corvette 1998 芦毛 [血統][産駒],Halo 1969 黒鹿毛 [血統][産駒],Wishing Well 1975 鹿毛 [血統][産駒],Alzao 1980 鹿毛 [血統][産駒],Burghclere 1977 鹿毛 [血統][産駒],Maria's Mon 1993 芦毛 [血統][産駒],Regal Band 1987 鹿毛 [血統][産駒],Tarr Road 1983 芦毛 [血統][産駒],Wind Chime 1992 栗毛 [血統][産駒],Hail to Reason 1958 黒鹿毛,Cosmah 1953 鹿毛,Understanding 1963 栗毛,Mountain Flower 1964 鹿毛,Lyphard 1969 鹿毛,Lady Rebecca 1971 鹿毛,Busted 1963 栗毛,Highclere 1971 鹿毛,Wavering Monarch 1979 鹿毛,Carlotta Maria 1984 芦毛,Dixieland Band 1980 鹿毛,リーガルロベルタ 1980 青鹿毛,Grey Dawn 1962 芦毛,Pure Reason 1977 黒鹿毛,Marfa 1980 芦毛,Belles Native 1975 栗毛,Turn-to,Nothirdchance,Cosmic Bomb,Almahmoud,Promised Land,Pretty Ways,Montparnasse,Edelweiss,Northern Dancer,Goofed,Sir Ivor,Pocahontas,Crepello,Sans le Sou,Queen's Hussar,Highlight,Majestic Light,Uncommitted,Caro,Water Malone,Northern Dancer,Mississippi Mud,Roberto,Regal Road,Herbager,Polamia,Chieftain,Reason to Earn,Foolish Pleasure,Gray Matter,Raise a Native,Belle's Pocket
ローズキングダム 2007 黒鹿毛 [血統][産駒] Mr. Prospector系,シルバーベル 1997 芦毛 [血統][産駒] FNo.[9-b],キングカメハメハ 2001 鹿毛 [血統][産駒],ローズバド 1998 青毛 [血統][産駒],Red Ransom 1987 鹿毛 [血統][産駒],ノベンバーサンライズ November Sunrise(米) 1990 芦毛 [血統][産駒],Kingmambo (米) 1990 鹿毛 [血統][産駒],マンファス Manfath(愛) 1991 黒鹿毛 [血統][産駒],サンデーサイレンス Sunday Silence(米) 1986 青鹿毛 [血統][産駒],ロゼカラー 1993 鹿毛 [血統][産駒],Roberto 1969 鹿毛 [血統][産駒],アラビアII 1977 [血統][産駒],Danzig 1977 鹿毛 [血統][産駒],Timely Roman 1973 芦毛 [血統][産駒],Mr. Prospector 1970 鹿毛,Miesque 1984 鹿毛,ラストタイクーン 1983 黒鹿毛,Pilot Bird 1983 鹿毛,Halo 1969 黒鹿毛,Wishing Well 1975 鹿毛,Shirley Heights 1975 鹿毛,ローザネイ 1988 栗毛,Hail to Reason 1958 黒鹿毛,Bramalea 1959 黒鹿毛,Damascus 1964 鹿毛,Christmas Wind 1967 鹿毛,Northern Dancer 1961 鹿毛,Pas de Nom 1968 黒鹿毛,Sette Bello 1962 鹿毛,Timely Tammy 1966 芦毛,Raise a Native,Gold Digger,Nureyev,Pasadoble,トライマイベスト,Mill Princess,Blakeney,The Dancer,Hail to Reason,Cosmah,Understanding,Mountain Flower,Mill Reef,Hardiemma,Lyphard,Riviere Doree,Turn-to,Nothirdchance,Nashua,Rarelea,Sword Dancer,Kerala,Nearctic,Bally Free,Nearctic,Natalma,Admiral's Voyage,Petitioner,Ribot,Honor Bound,Tim Tam,Home by Dark
スクリーンヒーロー 2004 栗毛 [血統][産駒] Roberto系,イルミナティ 2010 鹿毛 [血統][産駒] FNo.[A4],グラスワンダー 1995 栗毛 [血統][産駒],ランニングヒロイン 1993 鹿毛 [血統][産駒],メイショウサムソン 2003 鹿毛 [血統][産駒],エヌティミラクル 1996 鹿毛 [血統][産駒],Silver Hawk 1979 鹿毛 [血統][産駒],Ameriflora 1989 鹿毛 [血統][産駒],サンデーサイレンス Sunday Silence(米) 1986 青鹿毛 [血統][産駒],ダイナアクトレス 1983 鹿毛 [血統][産駒],オペラハウス Opera House(英) 1988 鹿毛 [血統][産駒],マイヴィヴィアン 1997 鹿毛 [血統][産駒],フジキセキ 1992 青鹿毛 [血統][産駒],バラダ Barada(米) 1982 栗毛 [血統][産駒],Roberto 1969 鹿毛,Gris Vitesse 1966 芦毛,Danzig 1977 鹿毛,Graceful Touch 1978 鹿毛,Halo 1969 黒鹿毛,Wishing Well 1975 鹿毛,ノーザンテースト 1971 栗毛,モデルスポート 1975 黒鹿毛,Sadler's Wells 1981 鹿毛,Colorspin 1983 鹿毛,ダンシングブレーヴ 1983 鹿毛,ウイルプリンセス 1983 鹿毛,サンデーサイレンス 1986 青鹿毛,ミルレーサー 1983 鹿毛,Damascus 1964 鹿毛,Courtly Dee 1968 黒鹿毛,Hail to Reason,Bramalea,Amerigo,Matchiche,Northern Dancer,Pas de Nom,His Majesty,Pi Phi Gal,Hail to Reason,Cosmah,Understanding,Mountain Flower,Northern Dancer,Lady Victoria,モデルフール,マジックゴデイス,Northern Dancer,Fairy Bridge,High Top,Reprocolor,Lyphard,Navajo Princess,サンプリンス,エール,Halo,Wishing Well,Le Fabuleux,Marston's Mill,Sword Dancer,Kerala,Never Bend,Tulle
ディープインパクト 2002 鹿毛 [血統][産駒] Halo系,クルソラ Cursora(亜) 2002 栗毛 [血統][産駒] FNo.[8-j],サンデーサイレンス Sunday Silence(米) 1986 青鹿毛 [血統][産駒],ウインドインハーヘア Wind in Her Hair(愛) 1991 鹿毛 [血統][産駒],Candy Stripes 1982 栗毛 [血統][産駒],Calorica 1995 黒鹿毛 [血統][産駒],Halo 1969 黒鹿毛 [血統][産駒],Wishing Well 1975 鹿毛 [血統][産駒],Alzao 1980 鹿毛 [血統][産駒],Burghclere 1977 鹿毛 [血統][産駒],Blushing Groom (仏) 1974 栗毛 [血統][産駒],バブルカンパニー Bubble Company(仏) 1977 栗毛 [血統][産駒],Ahmad 1975 鹿毛 [血統][産駒],Canchera 1989 栗毛 [血統][産駒],Hail to Reason 1958 黒鹿毛,Cosmah 1953 鹿毛,Understanding 1963 栗毛,Mountain Flower 1964 鹿毛,Lyphard 1969 鹿毛,Lady Rebecca 1971 鹿毛,Busted 1963 栗毛,Highclere 1971 鹿毛,Red God 1954 栗毛,Runaway Bride 1962 鹿毛,Lyphard 1969 鹿毛,Prodice 1969 栗毛,Good Manners 1966 鹿毛,Azyade 1957 鹿毛,Pepenador 1970 鹿毛,Cargada 1983 栗毛,Turn-to,Nothirdchance,Cosmic Bomb,Almahmoud,Promised Land,Pretty Ways,Montparnasse,Edelweiss,Northern Dancer,Goofed,Sir Ivor,Pocahontas,Crepello,Sans le Sou,Queen's Hussar,Highlight,Nasrullah,Spring Run,Wild Risk,Aimee,Northern Dancer,Goofed,Prominer,Euridice,Nashua,Fun House,Churrinche,Zeilah,Lucky Debonair,Ninon,Mariache,Casandra Real
ゼンノロブロイ 2000 黒鹿毛 [血統][産駒] Halo系,ハーリカ 2005 黒鹿毛 [血統][産駒] FNo.[5-e],サンデーサイレンス Sunday Silence(米) 1986 青鹿毛 [血統][産駒],ローミンレイチェル Roamin Rachel(米) 1990 鹿毛 [血統][産駒],ブライアンズタイム Brian's Time(米) 1985 黒鹿毛 [血統][産駒],ディマー Dimah(唖) 1998 鹿毛 [血統][産駒],Halo 1969 黒鹿毛 [血統][産駒],Wishing Well 1975 鹿毛 [血統][産駒],マイニング Mining(米) 1984 栗毛 [血統][産駒],One Smart Lady 1984 鹿毛 [血統][産駒],Roberto 1969 鹿毛 [血統][産駒],Kelley's Day 1977 鹿毛 [血統][産駒],Caerleon (米) 1980 鹿毛 [血統][産駒],Kalikala 1986 黒鹿毛 [血統][産駒],Hail to Reason 1958 黒鹿毛,Cosmah 1953 鹿毛,Understanding 1963 栗毛,Mountain Flower 1964 鹿毛,Mr. Prospector 1970 鹿毛,I Pass 1978 鹿毛,Clever Trick 1976 黒鹿毛,Pia's Lady 1971 鹿毛,Hail to Reason 1958 黒鹿毛,Bramalea 1959 黒鹿毛,Graustark 1963 栗毛,Golden Trail 1958 黒鹿毛,Nijinsky 1967 鹿毛,Foreseer 1969 黒鹿毛,Darshaan 1981 黒鹿毛,Kalkeen 1974 鹿毛,Turn-to,Nothirdchance,Cosmic Bomb,Almahmoud,Promised Land,Pretty Ways,Montparnasse,Edelweiss,Raise a Native,Gold Digger,Buckpasser,Impish,Icecapade,Kankakee Miss,Pia Star,Plucky Roman,Turn-to,Nothirdchance,Nashua,Rarelea,Ribot,Flower Bowl,Hasty Road,Sunny Vale,Northern Dancer,Flaming Page,Round Table,Regal Gleam,Shirley Heights,Delsy,Sheshoon,Gioia
マンハッタンカフェ 1998 青鹿毛 [血統][産駒] Halo系,フサイチリニモ 2004 鹿毛 [血統][産駒] FNo.[3-l],サンデーサイレンス Sunday Silence(米) 1986 青鹿毛 [血統][産駒],サトルチェンジ Subtle Change(愛) 1988 黒鹿毛 [血統][産駒],ジャングルポケット 1998 鹿毛 [血統][産駒],トキオリアリティー 1994 栗毛 [血統][産駒],Halo 1969 黒鹿毛 [血統][産駒],Wishing Well 1975 鹿毛 [血統][産駒],Law Society 1982 黒鹿毛 [血統][産駒],Santa Luciana 1973 黒鹿毛 [血統][産駒],トニービン Tony Bin(愛) 1983 鹿毛 [血統][産駒],ダンスチャーマー Dance Charmer(米) 1990 黒鹿毛 [血統][産駒],Meadowlake 1983 栗毛 [血統][産駒],What a Reality 1978 栗毛 [血統][産駒],Hail to Reason 1958 黒鹿毛,Cosmah 1953 鹿毛,Understanding 1963 栗毛,Mountain Flower 1964 鹿毛,Alleged 1974 鹿毛,Bold Bikini 1969 鹿毛,Luciano 1964 鹿毛,Suleika 1954 黒鹿毛,カンパラ 1976 黒鹿毛,Severn Bridge 1965 栗毛,Nureyev 1977 鹿毛,Skillful Joy 1979 栗毛,Hold Your Peace 1969 鹿毛,Suspicious Native 1972 栗毛,In Reality 1964 鹿毛,What Will Be 1970 鹿毛,Turn-to,Nothirdchance,Cosmic Bomb,Almahmoud,Promised Land,Pretty Ways,Montparnasse,Edelweiss,Hoist the Flag,Princess Pout,Boldnesian,Ran-Tan,Henry the Seventh,Light Arctic,Ticino,Schwarzblaurot,Kalamoun,State Pension,Hornbeam,Priddy Fair,Northern Dancer,Special,Nodouble,Skillful Miss,Speak John,Blue Moon,Raise a Native,Be Suspicious,Intentionally,My Dear Girl,Crozier,Solabar
