,0,1,2,3
202105020812,単勝,5,480,2
202105020812,複勝,5br8br12,190br270br230,2br4br3
202105020812,枠連,3 - 4,1300,5
202105020812,馬連,5 - 8,2240,7
202105020812,ワイド,5 - 8br5 - 12br8 - 12,730br690br900,5br4br9
202105020812,馬単,5 → 8,3910,10
202105020812,三連複,5 - 8 - 12,4770,9
202105020812,三連単,5 → 8 → 12,24510,46
202003020505,単勝,5,3780,10
202003020505,複勝,5br6br12,530br160br150,9br2br1
202003020505,枠連,4 - 4,10260,25
202003020505,馬連,5 - 6,9980,33
202003020505,ワイド,5 - 6br5 - 12br6 - 12,"1,900br2,020br350",23br24br1
202003020505,馬単,5 → 6,28680,84
202003020505,三連複,5 - 6 - 12,9300,28
202003020505,三連単,5 → 6 → 12,121720,376
202109030103,単勝,8,680,3
202109030103,複勝,8br5br4,"600br540br1,630",4br3br7
202109030103,枠連,3 - 5,2360,7
202109030103,馬連,5 - 8,2210,7
202109030103,ワイド,5 - 8br4 - 8br4 - 5,"580br2,350br1,850",5br20br15
202109030103,馬単,8 → 5,4830,13
202109030103,三連複,4 - 5 - 8,15970,37
202109030103,三連単,8 → 5 → 4,84640,185
202106020802,単勝,11,270,2
202106020802,複勝,11br10br6,150br500br290,2br7br3
202106020802,枠連,5 - 6,2160,8
202106020802,馬連,10 - 11,3100,12
202106020802,ワイド,10 - 11br6 - 11br6 - 10,"1,050br710br3,190",11br6br28
202106020802,馬単,11 → 10,4500,16
202106020802,三連複,6 - 10 - 11,12620,35
202106020802,三連単,11 → 10 → 6,43710,122
202006020109,単勝,4,1480,6
202006020109,複勝,4br8br6,270br260br150,6br5br1
202006020109,枠連,4 - 8,1660,7
202006020109,馬連,4 - 8,6300,19
202006020109,ワイド,4 - 8br4 - 6br6 - 8,"1,840br710br690",21br10br9
202006020109,馬単,4 → 8,14310,42
202006020109,三連複,4 - 6 - 8,7660,31
202006020109,三連単,4 → 8 → 6,68010,206
202007020306,単勝,7,420,2
202007020306,複勝,7br3br13,150br140br160,2br1br4
202007020306,枠連,2 - 4,610,1
202007020306,馬連,3 - 7,790,1
202007020306,ワイド,3 - 7br7 - 13br3 - 13,320br450br410,1br4br3
202007020306,馬単,7 → 3,1550,2
202007020306,三連複,3 - 7 - 13,1410,2
202007020306,三連単,7 → 3 → 13,6990,5
202010020202,単勝,13,1590,6
202010020202,複勝,13br7br8,350br170br310,7br2br5
202010020202,枠連,5 - 8,1850,9
202010020202,馬連,7 - 13,3330,13
202010020202,ワイド,7 - 13br8 - 13br7 - 8,"1,170br2,470br600",14br28br6
202010020202,馬単,13 → 7,9230,28
202010020202,三連複,7 - 8 - 13,8550,31
202010020202,三連単,13 → 7 → 8,95860,270
202101010301,単勝,2,4020,9
202101010301,複勝,2br11br4,650br160br140,8br2br1
202101010301,枠連,1 - 6,3600,11
202101010301,馬連,2 - 11,8290,24
202101010301,ワイド,2 - 11br2 - 4br4 - 11,"1,830br1,560br340",19br16br2
202101010301,馬単,2 → 11,25430,65
202101010301,三連複,2 - 4 - 11,7170,20
202101010301,三連単,2 → 11 → 4,90590,281
202009010109,単勝,10,1350,5
202009010109,複勝,10br8br12,400br340br250,8br5br3
202009010109,枠連,6 - 7,3340,17
202009010109,馬連,8 - 10,7420,32
202009010109,ワイド,8 - 10br10 - 12br8 - 12,"2,000br1,580br1,320",31br22br17
202009010109,馬単,10 → 8,14800,63
202009010109,三連複,8 - 10 - 12,15090,60
202009010109,三連単,10 → 8 → 12,104460,415
202010010511,単勝,5,1350,6
202010010511,複勝,5br11br6,330br230br160,6br4br1
202010010511,枠連,4 - 7,2740,14
202010010511,馬連,5 - 11,4900,22
202010010511,ワイド,5 - 11br5 - 6br6 - 11,"1,500br960br690",22br10br5
202010010511,馬単,5 → 11,10470,47
